club_id,club,player_name,nationality,position,age,born,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,p90_gls,p90_ast,p90_g+a,p90_g-pk,p90_g+a-pk,p90_xg,p90_xag,p90_xg+xag,p90_npxg,p90_npxg+xag,matches
15,Portsmouth,Sam Silvera,Australia,"FW,MF",23.0,2000.0,11,5,446,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,17,8,37,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.14,0.04,0.14,https://fbref.com/en/players/e76ad32b/matchlogs/2024-2025/summary/Sam-Silvera-Match-Logs
5,Coventry City,Ellis Simms,England,FW,23.0,2001.0,43,26,2286,25.4,6,2,8,6,0,1,1,0,10.0,9.2,2.5,11.7,26,18,114,0.24,0.08,0.31,0.24,0.31,0.39,0.1,0.49,0.36,0.46,https://fbref.com/en/players/26d3b5be/matchlogs/2024-2025/summary/Ellis-Simms-Match-Logs
7,Hull City,Xavier Simons,England,MF,21.0,2003.0,20,13,1208,13.4,2,0,2,2,0,0,3,0,1.4,1.4,0.4,1.8,19,39,13,0.15,0.0,0.15,0.15,0.15,0.11,0.03,0.13,0.11,0.13,https://fbref.com/en/players/2f0cfc9b/matchlogs/2024-2025/summary/Xavier-Simons-Match-Logs
10,Middlesbrough,Nathan Simpson,England,FW,20.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/4fb8b1f2/matchlogs/2024-2025/summary/Nathan-Simpson-Match-Logs
4,Cardiff City,Emmanouil Siopis,Greece,MF,30.0,1994.0,21,16,1444,16.0,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,5,56,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/36a6f28d/matchlogs/2024-2025/summary/Emmanouil-Siopis-Match-Logs
23,Watford,Moussa Sissoko,France,"MF,FW",34.0,1989.0,40,33,2888,32.1,6,1,7,6,0,0,6,1,3.5,3.5,2.9,6.5,37,98,112,0.19,0.03,0.22,0.19,0.22,0.11,0.09,0.2,0.11,0.2,https://fbref.com/en/players/2acd49b9/matchlogs/2024-2025/summary/Moussa-Sissoko-Match-Logs
7,Hull City,Regan Slater,England,MF,24.0,1999.0,44,36,2966,33.0,1,1,2,1,0,0,6,0,4.2,4.2,2.7,6.9,52,82,82,0.03,0.03,0.06,0.03,0.06,0.13,0.08,0.21,0.13,0.21,https://fbref.com/en/players/ba4d4908/matchlogs/2024-2025/summary/Regan-Slater-Match-Logs
19,Sheffield Wednesday,Michael Smith,England,FW,32.0,1991.0,41,16,1844,20.5,8,4,12,7,1,1,3,0,7.9,7.1,3.6,10.7,8,31,85,0.39,0.2,0.59,0.34,0.54,0.39,0.18,0.56,0.35,0.53,https://fbref.com/en/players/b93da142/matchlogs/2024-2025/summary/Michael-Smith-Match-Logs
17,Queens Park Rangers,Paul Smyth,Northern Ireland,"FW,MF",26.0,1997.0,43,30,2770,30.8,1,4,5,1,0,0,6,0,2.9,2.9,3.4,6.3,120,82,200,0.03,0.13,0.16,0.03,0.16,0.09,0.11,0.21,0.09,0.21,https://fbref.com/en/players/0747000e/matchlogs/2024-2025/summary/Paul-Smyth-Match-Logs
8,Leeds United,Manor Solomon,Israel,FW,25.0,1999.0,39,30,2589,28.8,10,12,22,10,0,0,3,0,8.1,8.1,12.0,20.1,144,111,320,0.35,0.42,0.76,0.35,0.76,0.28,0.42,0.7,0.28,0.7,https://fbref.com/en/players/886f9aac/matchlogs/2024-2025/summary/Manor-Solomon-Match-Logs
3,Burnley,Oliver Sonne,Peru,DF,23.0,2000.0,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.62,https://fbref.com/en/players/b66b8d5e/matchlogs/2024-2025/summary/Oliver-Sonne-Match-Logs
14,Plymouth Argyle,Matthew Sorinola,England,"DF,MF",23.0,2001.0,25,19,1674,18.6,0,1,1,0,0,0,9,1,0.3,0.3,0.8,1.1,25,40,63,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.06,0.02,0.06,https://fbref.com/en/players/ed47203f/matchlogs/2024-2025/summary/Matthew-Sorinola-Match-Logs
18,Sheffield United,Harry Souttar,Australia,DF,25.0,1998.0,21,20,1768,19.6,0,0,0,0,0,0,5,1,0.8,0.8,0.0,0.8,5,54,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,https://fbref.com/en/players/0a6cb1b1/matchlogs/2024-2025/summary/Harry-Souttar-Match-Logs
18,Sheffield United,Vinicius Souza,Brazil,MF,25.0,1999.0,35,32,2787,31.0,0,1,1,0,0,0,8,0,0.7,0.7,1.4,2.0,21,133,30,0.0,0.03,0.03,0.0,0.03,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/6a8a7af8/matchlogs/2024-2025/summary/Vinicius-Souza-Match-Logs
12,Norwich City,Jack Stacey,England,DF,28.0,1996.0,41,20,2143,23.8,2,6,8,2,0,0,5,0,1.8,1.8,2.7,4.5,73,56,160,0.08,0.25,0.34,0.08,0.34,0.08,0.11,0.19,0.08,0.19,https://fbref.com/en/players/558807c0/matchlogs/2024-2025/summary/Jack-Stacey-Match-Logs
20,Stoke City,Enda Stevens,Republic of Ireland,DF,34.0,1990.0,18,13,1194,13.3,0,2,2,0,0,0,3,0,0.3,0.3,1.6,1.9,20,49,42,0.0,0.15,0.15,0.0,0.15,0.02,0.12,0.15,0.02,0.15,https://fbref.com/en/players/17d4507a/matchlogs/2024-2025/summary/Enda-Stevens-Match-Logs
15,Portsmouth,Ben Stevenson,England,MF,27.0,1997.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/b26b1474/matchlogs/2024-2025/summary/Ben-Stevenson-Match-Logs
