player,squad,misplaced_passes,shots,sca,sca90,gca,gca90,touches,miscontrols,dispossessed,failed_take_ons
Tom Dele-Bashiru,Watford,97,22,36,1.57,2,0.09,1293,29,22,20
Tom Fellows,West Brom,171,43,102,3.2,18,0.56,1101,73,41,52
Tom Glover,Middlesbrough,79,0,1,0.16,0,0.0,251,0,0,0
Tom Holmes,Luton Town,140,10,14,0.96,1,0.07,845,11,1,4
Tom Ince,Watford,85,15,27,1.89,1,0.07,556,25,12,10
Tom Krauß,Luton Town,152,16,37,2.08,5,0.28,852,32,14,7
Tom Leahy,Millwall,0,0,0,0.0,0,0.0,1,1,0,0
Tom McIntyre,Portsmouth,117,4,4,0.35,1,0.09,595,5,3,1
Tom Watson,Sunderland,91,26,36,3.64,0,0.0,441,23,23,22
Tommy Conway,Middlesbrough,82,54,65,2.48,7,0.27,726,40,28,26
Torbjørn Heggem,West Brom,323,27,33,0.74,2,0.04,2993,25,14,13
Trai Hume,Sunderland,581,29,102,2.41,11,0.26,2959,44,13,19
Tristan Crama,Millwall,320,10,23,1.27,2,0.11,1063,23,12,10
Tyler Goodhram,Oxford United,281,50,114,3.36,14,0.41,1484,72,51,77
Tymoteusz Puchacz,Plymouth Argyle,215,3,22,1.76,2,0.16,727,19,14,19
Tyrell Sellars-Fleming,Hull City,0,1,2,22.5,0,0.0,9,1,0,1
Tyrese Campbell,Sheffield Utd,79,47,42,2.39,8,0.46,452,41,17,17
Tyrese Fornah,Derby County,1,0,0,0.0,0,0.0,3,0,0,0
Tyrhys Dolan,Blackburn,242,50,99,2.81,17,0.48,1508,90,65,94
Uroš Račić,West Brom,85,21,23,2.26,3,0.29,572,12,13,5
Vakoun Bayo,Watford,103,59,25,1.0,3,0.12,682,92,21,19
Vicente Reyes,Norwich City,15,0,0,0.0,0,0.0,78,0,0,0
Victor Moses,Luton Town,183,12,23,1.82,0,0.0,658,17,14,23
Victor Pálsson,Plymouth Argyle,198,4,9,0.47,1,0.05,957,7,1,0
Victor Torp,Coventry City,289,49,83,3.55,6,0.26,1372,33,25,8
Viktor Johansson,Stoke City,546,0,8,0.17,0,0.0,1843,2,0,0
Vinicius Souza,Sheffield Utd,201,15,54,1.74,8,0.26,1921,35,35,12
Vitinho,Burnley,19,4,6,2.31,1,0.38,100,2,1,6
Václav Hladký,Burnley,6,0,0,0.0,0,0.0,40,0,0,0
Wes Harding,Millwall,46,0,0,0.0,0,0.0,127,3,3,3
Wilfried Gnonto,Leeds United,216,82,108,4.27,10,0.4,1283,39,48,46
Wilfried Kanga,Cardiff City,23,10,7,1.38,1,0.2,103,5,5,4
Will Alves,Cardiff City,38,13,28,3.77,4,0.54,240,18,13,11
Will Fish,Cardiff City,106,10,12,0.78,2,0.13,736,9,2,3
Will Goodwin,Oxford United,3,0,1,3.91,0,0.0,6,0,0,1
Will Keane,Preston,56,14,13,1.04,1,0.08,382,25,19,5
Will Lankshear,West Brom,18,8,2,0.51,0,0.0,89,13,8,1
Will Norris,Portsmouth,141,0,0,0.0,0,0.0,341,0,0,0
Will Vaulks,Oxford United,624,25,82,2.21,6,0.16,2380,24,15,7
William Jarvis,Hull City,7,2,7,3.91,0,0.0,93,4,7,4
Wilson Isidor,Sunderland,110,93,57,1.65,9,0.26,640,61,30,35
Wilson Odobert,Burnley,1,3,3,3.03,1,1.01,35,1,4,4
Wout Weghorst,Burnley,1,0,0,0.0,0,0.0,6,0,0,1
Wouter Burger,Stoke City,356,25,57,1.71,7,0.21,1802,42,27,7
Xavier Simons,Hull City,72,16,20,1.49,0,0.0,619,9,6,1
Yakou Méïte,Cardiff City,95,45,28,2.1,0,0.0,370,39,24,13
Yan Valery,Sheffield Weds,339,20,50,1.43,6,0.17,1713,42,49,49
Yang Minhyeok,QPR,43,18,18,2.34,3,0.39,275,20,16,13
Yasser Larouci,Watford,278,22,68,2.87,6,0.25,1450,38,15,36
Yousef Salech,Cardiff City,158,44,24,1.69,5,0.35,447,29,21,8
Yu Hirakawa,Bristol City,148,29,61,3.32,6,0.33,835,46,21,30
Yuki Ohashi,Blackburn,165,53,35,1.42,5,0.2,805,86,45,31
Yuri Ribeiro,Blackburn,246,8,22,1.47,2,0.13,1089,19,10,8
Zack Nelson,Luton Town,48,8,32,3.61,1,0.11,387,7,10,15
Zak Sturge,Millwall,39,1,1,0.3,0,0.0,172,3,4,3
Zak Swanson,Portsmouth,290,9,33,1.51,3,0.14,1196,18,3,11
Zak Vyner,Bristol City,645,15,51,1.11,4,0.09,3404,10,5,1
Zavier Massiah,Watford,5,0,2,3.1,0,0.0,24,2,0,0
Zeki Amdouni,Burnley,3,1,1,2.57,1,2.57,29,2,0,2
Zian Flemming,Burnley,126,79,45,1.67,9,0.33,676,59,24,16
Óscar Zambrano,Hull City,20,7,13,2.99,1,0.23,197,8,3,1
Žan Celar,QPR,36,26,18,1.72,0,0.0,210,24,10,3
Žan Vipotnik,Swansea City,82,56,28,1.21,2,0.09,442,39,8,8
