player,squad,misplaced_passes,shots,sca,sca90,gca,gca90,touches,miscontrols,dispossessed,failed_take_ons
Liam Gibbs,Norwich City,19,2,2,0.85,0,0.0,125,4,1,2
Liam Kitching,Coventry City,257,14,33,1.3,1,0.04,1641,14,5,5
Liam Lindsay,Preston,300,22,23,0.79,1,0.03,1829,17,10,3
Liam Millar,Hull City,79,18,27,3.92,6,0.87,379,11,9,25
Liam Morrison,QPR,110,8,6,0.42,0,0.0,878,5,1,0
Liam Palmer,Sheffield Weds,81,4,14,1.44,0,0.0,484,3,1,1
Liam Roberts,Millwall,28,0,1,0.99,0,0.0,37,0,0,0
Liam Thompson,Derby County,170,9,12,0.67,1,0.06,759,29,21,15
Liam Walsh,Luton Town,173,23,44,2.81,1,0.06,880,21,16,9
Lincoln,Hull City,43,3,10,2.14,1,0.21,227,14,6,4
Louie Barry,Hull City,24,3,2,1.09,0,0.0,87,11,2,4
Louie Sibley,Oxford United,9,5,6,3.14,0,0.0,71,7,5,3
Luca Koleosho,Burnley,169,29,56,3.01,1,0.05,863,46,44,67
Lucas,Burnley,375,19,62,2.0,4,0.13,2207,39,28,17
Lucas Andersen,QPR,142,19,37,2.86,3,0.23,627,27,30,16
Lucien Mahovo,Norwich City,46,4,13,2.23,1,0.17,464,10,3,5
Luis Binks,Coventry City,236,8,27,1.31,5,0.24,1625,9,2,0
Lukas Engel,Middlesbrough,70,8,15,3.67,0,0.0,337,9,1,2
Lukas Jensen,Millwall,635,0,8,0.2,1,0.02,1226,1,0,0
Luke Ayling,Middlesbrough,270,14,53,2.45,6,0.28,1826,18,11,12
Luke Cundle,Millwall,65,6,23,2.11,2,0.18,401,23,12,12
Luke McNally,Bristol City,263,29,18,0.7,2,0.08,1490,8,5,2
Luke McNally,Burnley,1,0,0,0.0,0,0.0,4,1,0,0
Luke O'Nien,Sunderland,384,16,51,1.17,1,0.02,3217,23,14,3
Lyle Foster,Burnley,101,39,38,2.15,8,0.45,636,48,28,24
Lynden Gooch,Stoke City,177,8,13,1.13,1,0.09,588,19,19,15
Lyndon Dykes,QPR,3,1,0,0.0,0,0.0,7,0,0,0
Macaulay Langstaff,Millwall,63,25,13,0.84,2,0.13,308,42,22,7
Mads Frøkjær-Jensen,Preston,291,22,77,2.93,7,0.27,1320,40,18,32
Mads Juel Andersen,Luton Town,42,3,5,1.1,0,0.0,227,1,2,1
Makhtar Gueye,Blackburn,244,62,46,1.89,10,0.41,918,101,45,30
Maksym Talovierov,Plymouth Argyle,86,3,2,0.19,2,0.19,481,6,0,1
